id,slug,name,branch,level,position_type,province,city,parent_office_id
o0,councilor-of-danglas-abra-o0,"Councilor of Danglas, Abra",legislative,city,elected,ABRA,DANGLAS,o27
o1,councilor-of-la-paz-abra-o1,"Councilor of La Paz, Abra",legislative,city,elected,ABRA,LA PAZ,o27
o2,councilor-of-manabo-abra-o2,"Councilor of Manabo, Abra",legislative,city,elected,ABRA,MANABO,o27
o3,councilor-of-tayum-abra-o3,"Councilor of Tayum, Abra",legislative,city,elected,ABRA,TAYUM,o27
o4,councilor-of-lagangilang-abra-o4,"Councilor of Lagangilang, Abra",legislative,city,elected,ABRA,LAGANGILANG,o27
o5,councilor-of-lagayan-abra-o5,"Councilor of Lagayan, Abra",legislative,city,elected,ABRA,LAGAYAN,o27
o6,councilor-of-malibcong-abra-o6,"Councilor of Malibcong, Abra",legislative,city,elected,ABRA,MALIBCONG,o27
o7,councilor-of-sal-lapadan-abra-o7,"Councilor of Sal Lapadan, Abra",legislative,city,elected,ABRA,SAL LAPADAN,o27
o8,councilor-of-bucay-abra-o8,"Councilor of Bucay, Abra",legislative,city,elected,ABRA,BUCAY,o27
o9,councilor-of-dolores-abra-o9,"Councilor of Dolores, Abra",legislative,city,elected,ABRA,DOLORES,o27
o10,councilor-of-penarrubia-abra-o10,"Councilor of Penarrubia, Abra",legislative,city,elected,ABRA,PENARRUBIA,o27
o11,councilor-of-bangued-abra-o11,"Councilor of Bangued, Abra",legislative,city,elected,ABRA,BANGUED,o27
o12,councilor-of-bucloc-abra-o12,"Councilor of Bucloc, Abra",legislative,city,elected,ABRA,BUCLOC,o27
o13,councilor-of-daguioman-abra-o13,"Councilor of Daguioman, Abra",legislative,city,elected,ABRA,DAGUIOMAN,o27
o14,councilor-of-villaviciosa-abra-o14,"Councilor of Villaviciosa, Abra",legislative,city,elected,ABRA,VILLAVICIOSA,o27
o15,councilor-of-boliney-abra-o15,"Councilor of Boliney, Abra",legislative,city,elected,ABRA,BOLINEY,o27
o16,councilor-of-lacub-abra-o16,"Councilor of Lacub, Abra",legislative,city,elected,ABRA,LACUB,o27
o17,councilor-of-san-juan-abra-o17,"Councilor of San Juan, Abra",legislative,city,elected,ABRA,SAN JUAN,o27
o18,councilor-of-tubo-abra-o18,"Councilor of Tubo, Abra",legislative,city,elected,ABRA,TUBO,o27
o19,councilor-of-pilar-abra-o19,"Councilor of Pilar, Abra",legislative,city,elected,ABRA,PILAR,o27
o20,councilor-of-licuan-baay-abra-o20,"Councilor of Licuan Baay, Abra",legislative,city,elected,ABRA,LICUAN BAAY,o27
o21,councilor-of-pidigan-abra-o21,"Councilor of Pidigan, Abra",legislative,city,elected,ABRA,PIDIGAN,o27
o22,councilor-of-langiden-abra-o22,"Councilor of Langiden, Abra",legislative,city,elected,ABRA,LANGIDEN,o27
o23,councilor-of-luba-abra-o23,"Councilor of Luba, Abra",legislative,city,elected,ABRA,LUBA,o27
o24,councilor-of-san-isidro-abra-o24,"Councilor of San Isidro, Abra",legislative,city,elected,ABRA,SAN ISIDRO,o27
o25,councilor-of-tineg-abra-o25,"Councilor of Tineg, Abra",legislative,city,elected,ABRA,TINEG,o27
o26,councilor-of-san-quintin-abra-o26,"Councilor of San Quintin, Abra",legislative,city,elected,ABRA,SAN QUINTIN,o27
o27,governor-of-abra-o27,Governor of Abra,executive,provincial,elected,ABRA,,
o28,mayor-of-danglas-abra-o28,"Mayor of Danglas, Abra",executive,city,elected,ABRA,DANGLAS,o27
o29,mayor-of-malibcong-abra-o29,"Mayor of Malibcong, Abra",executive,city,elected,ABRA,MALIBCONG,o27
o30,mayor-of-boliney-abra-o30,"Mayor of Boliney, Abra",executive,city,elected,ABRA,BOLINEY,o27
o31,mayor-of-lacub-abra-o31,"Mayor of Lacub, Abra",executive,city,elected,ABRA,LACUB,o27
o32,mayor-of-licuan-baay-abra-o32,"Mayor of Licuan Baay, Abra",executive,city,elected,ABRA,LICUAN BAAY,o27
o33,mayor-of-tineg-abra-o33,"Mayor of Tineg, Abra",executive,city,elected,ABRA,TINEG,o27
o34,mayor-of-bucay-abra-o34,"Mayor of Bucay, Abra",executive,city,elected,ABRA,BUCAY,o27
o35,mayor-of-la-paz-abra-o35,"Mayor of La Paz, Abra",executive,city,elected,ABRA,LA PAZ,o27
o36,mayor-of-sal-lapadan-abra-o36,"Mayor of Sal Lapadan, Abra",executive,city,elected,ABRA,SAL LAPADAN,o27
o37,mayor-of-langiden-abra-o37,"Mayor of Langiden, Abra",executive,city,elected,ABRA,LANGIDEN,o27
