Last Name,First Name,Middle Name,Middle Name Source,Title,Full Name,Position,Party,Year,Province,City,Region,Sex,Sex Source
ACNAM,CARMELO,MANUBE,self-prior,,"ACNAM, CARMELO MANUBE",COUNCILOR,LAKAS NUCD-UMDP,2001,ABRA,DANGLAS,CORDILLERA ADMINISTRATIVE REGION,M,prior
ACNAM,DOMINADOR,SIGABO,self-prior,,"ACNAM, DOMINADOR SIGABO",COUNCILOR,PDSP,2001,ABRA,DANGLAS,CORDILLERA ADMINISTRATIVE REGION,M,prior
AFOS,CHRISTOPHER,E.,,,"AFOS, CHRISTOPHER E.",COUNCILOR,PDSP,2001,ABRA,LA PAZ,CORDILLERA ADMINISTRATIVE REGION,M,prior
AGABAS,CAMILO,B.,,,"AGABAS, CAMILO B.",COUNCILOR,NPC,2001,ABRA,MANABO,CORDILLERA ADMINISTRATIVE REGION,M,prior
ALAGAO,REYNALDO,BALMACEDA,self-prior,,"ALAGAO, REYNALDO BALMACEDA",COUNCILOR,IND,2001,ABRA,TAYUM,CORDILLERA ADMINISTRATIVE REGION,M,prior
ALDACA,IMELDA,A.,,,"ALDACA, IMELDA A.",COUNCILOR,PDSP,2001,ABRA,LAGANGILANG,CORDILLERA ADMINISTRATIVE REGION,F,prior
ALEJANDRO,DAYAWEN,SANTOS,self-prior,,"ALEJANDRO, DAYAWEN SANTOS",COUNCILOR,LP,2001,ABRA,LAGAYAN,CORDILLERA ADMINISTRATIVE REGION,M,prior
ALITA,GENARO,BACUD,self-prior,,"ALITA, GENARO BACUD",COUNCILOR,LAKAS NUCD-UMDP,2001,ABRA,DANGLAS,CORDILLERA ADMINISTRATIVE REGION,M,prior
ALLEN,FERDINAND,B.,,,"ALLEN, FERDINAND B.",COUNCILOR,LP,2001,ABRA,LAGAYAN,CORDILLERA ADMINISTRATIVE REGION,M,prior
ALUNDAY,DAVID,A.,,,"ALUNDAY, DAVID A.",COUNCILOR,PDSP,2001,ABRA,MALIBCONG,CORDILLERA ADMINISTRATIVE REGION,M,prior
AMANTE,GONSALES,T.,,,"AMANTE, GONSALES T.",COUNCILOR,LAKAS NUCD-UMDP,2001,ABRA,SAL LAPADAN,CORDILLERA ADMINISTRATIVE REGION,M,prior
ANDALLO,ROBERTO JR.,T.,,,"ANDALLO, ROBERTO JR. T.",COUNCILOR,PDSP,2001,ABRA,MANABO,CORDILLERA ADMINISTRATIVE REGION,M,prior
ANDOY,JHONY,BOBILA,self-prior,,"ANDOY, JHONY BOBILA",COUNCILOR,IND,2001,ABRA,LAGAYAN,CORDILLERA ADMINISTRATIVE REGION,M,prior
